"country","year","disproportionality"
"Albania",2001,8.12
"Albania",2005,30.21
"Albania",2009,7.6
"Andorra",2001,9.97
"Andorra",2005,6.1
"Andorra",2009,8.41
"Andorra",2011,17.2
"Angola",1992,3.95
"Angola",2008,4.34
"Antigua and Barbuda",1971,16.9
"Antigua and Barbuda",1976,18.54
"Antigua and Barbuda",1980,20.35
"Antigua and Barbuda",1984,24.97
"Antigua and Barbuda",1989,24.99
"Antigua and Barbuda",1994,12.85
"Antigua and Barbuda",1999,19.64
"Antigua and Barbuda",2004,17.19
"Antigua and Barbuda",2009,5.59
"Argentina",1983,4.39
"Argentina",1985,8.53
"Argentina",1987,5.97
"Argentina",1989,7.55
"Argentina",1991,5.33
"Argentina",1993,6.04
"Argentina",1995,10.91
"Argentina",1997,8.29
"Argentina",1999,4.02
"Argentina",2001,10.02
"Argentina",2005,4.99
"Australia",1946,9.61
"Australia",1949,7.53
"Australia",1951,5.39
"Australia",1954,2.88
"Australia",1955,6.84
"Australia",1958,11.05
"Australia",1961,7.12
"Australia",1963,9
"Australia",1966,10.83
"Australia",1969,6.95
"Australia",1972,6.9
"Australia",1974,5.96
"Australia",1975,13.93
"Australia",1977,14.93
"Australia",1980,8.25
"Australia",1983,10.31
"Australia",1984,7.95
"Australia",1987,10.42
"Australia",1990,12.48
"Australia",1993,8.12
"Australia",1996,10.97
"Australia",1998,10.87
"Australia",2001,9.37
"Australia",2004,8.6
"Australia",2007,10.27
"Australia",2010,11.29
"Austria",1949,3.05
"Austria",1953,3.99
"Austria",1956,4.02
"Austria",1959,4.39
"Austria",1962,3.98
"Austria",1966,3.81
"Austria",1970,2.99
"Austria",1971,1.19
"Austria",1975,1.04
"Austria",1979,0.93
"Austria",1983,2.44
"Austria",1986,0.93
"Austria",1990,2.07
"Austria",1994,1.03
"Austria",1995,1.03
"Austria",1999,3.53
"Austria",2002,1.33
"Austria",2006,2.8
"Austria",2008,2.92
"Bahamas",1972,13.89
"Bahamas",1977,22.58
"Bahamas",1982,16.63
"Bahamas",1987,10.2
"Bahamas",1992,12.2
"Bahamas",1997,27.1
"Bahamas",2002,22.24
"Bahamas",2007,5.03
"Barbados",1971,17.5
"Barbados",1976,17.72
"Barbados",1981,10.42
